scenario,scenario_title,n,hh,foms,log10_foms,cv_pct,worst_ratio_pct,regime,safe_zone
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.00390625,0.03920179605484009,-1.4066940546035767,2.4987073615193367,96.96469306945801,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.00390625,0.03725995495915413,-1.428757667541504,2.349279262125492,97.1327006816864,-1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.00390625,0.040018633008003235,-1.397737741470337,2.736261673271656,96.95945382118225,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.00390625,0.04142293706536293,-1.3827590942382812,2.5348708033561707,97.10378646850586,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.00390625,0.034036777913570404,-1.468051552772522,3.029691055417061,97.29185104370117,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.00390625,0.02705552615225315,-1.5677440166473389,5.346682295203209,94.31046843528748,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.005412790386643338,0.03994786739349365,-1.3985064029693604,2.5165628641843796,96.81759476661682,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.005412790386643338,0.037867821753025055,-1.4217296838760376,2.3125402629375458,97.05756902694702,-1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.005412790386643338,0.04051314294338226,-1.3924040794372559,2.746804617345333,96.90060019493103,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.005412790386643338,0.0420306995511055,-1.3764333724975586,2.6154862716794014,96.97052836418152,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.005412790386643338,0.034626420587301254,-1.4605923891067505,3.2423313707113266,97.15492129325867,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.005412790386643338,0.027683328837156296,-1.55778169631958,5.509921908378601,94.04662847518921,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.007500364741053073,0.040985263884067535,-1.3873722553253174,2.56001316010952,96.58266305923462,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.007500364741053073,0.03858575224876404,-1.4135730266571045,2.3004306480288506,97.1093237400055,-1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.007500364741053073,0.04107530787587166,-1.3864191770553589,2.793743461370468,96.84481620788574,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.007500364741053073,0.042652763426303864,-1.3700528144836426,2.7021098881959915,96.93010449409485,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.007500364741053073,0.035229217261075974,-1.4530969858169556,3.5566605627536774,96.82956337928772,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.007500364741053073,0.028271635994315147,-1.5486490726470947,5.784584581851959,93.87699961662292,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.010393062954672825,0.04248262941837311,-1.3717886209487915,2.4956634268164635,96.21166586875916,-1,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.010393062954672825,0.039538346230983734,-1.4029815196990967,2.3578116670250893,97.03149795532227,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.010393062954672825,0.04178442806005478,-1.3789855241775513,2.815874107182026,96.6605544090271,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.010393062954672825,0.04319043084979057,-1.3646124601364136,2.9147690162062645,96.77109718322754,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.010393062954672825,0.035590093582868576,-1.4486708641052246,3.9832688868045807,96.63145542144775,0,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.010393062954672825,0.02849607914686203,-1.5452148914337158,6.84681311249733,92.26484894752502,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.014401400639701026,0.04379989206790924,-1.3585269451141357,1.9987400621175766,97.25940227508545,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.014401400639701026,0.04055357351899147,-1.3919708728790283,2.3867761716246605,97.00438380241394,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.014401400639701026,0.042039595544338226,-1.376341462135315,2.771815098822117,97.0773458480835,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.014401400639701026,0.043331872671842575,-1.3631925582885742,3.274855762720108,96.38717770576477,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.014401400639701026,0.03506273776292801,-1.4551541805267334,4.931607097387314,94.00074481964111,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.014401400639701026,0.025483589619398117,-1.59373939037323,10.734205693006516,84.95463132858276,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.01995565131181387,0.044806480407714844,-1.3486591577529907,1.9739478826522827,97.35634326934814,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.01995565131181387,0.041191499680280685,-1.3851923942565918,2.267961949110031,97.31693267822266,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.01995565131181387,0.04164733365178108,-1.3804128170013428,2.9400618746876717,96.53984904289246,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.01995565131181387,0.042330168187618256,-1.3733500242233276,3.9937686175107956,94.96057033538818,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.01995565131181387,0.03243878856301308,-1.4889353513717651,6.682910770177841,91.382497549057,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.01995565131181387,0.018154989928007126,-1.7410039901733398,12.291041016578674,82.1362853050232,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.02765203394042693,0.045713961124420166,-1.3399511575698853,1.9525416195392609,97.47593998908997,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.02765203394042693,0.04137422516942024,-1.3832701444625854,2.269277907907963,97.53540754318237,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.02765203394042693,0.04075053334236145,-1.3898667097091675,3.3117402344942093,96.05948328971863,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.02765203394042693,0.04058314859867096,-1.3916542530059814,4.469446837902069,94.07684206962585,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.02765203394042693,0.028846682980656624,-1.5399041175842285,8.433686941862106,88.75229358673096,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.02765203394042693,0.01182709913700819,-1.9271217584609985,15.213319659233093,78.60621809959412,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.03831671385187284,0.04671443626284599,-1.330548882484436,2.0020347088575363,97.3074734210968,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.03831671385187284,0.04114628583192825,-1.3856693506240845,2.498471178114414,97.12940454483032,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.03831671385187284,0.03961241990327835,-1.40216863155365,3.8333002477884293,95.19243240356445,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.03831671385187284,0.03704032674431801,-1.4313251972198486,6.1842817813158035,90.91358184814453,0,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.03831671385187284,0.02473214454948902,-1.6067382097244263,10.466326773166656,84.71566438674927,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.03831671385187284,0.007059058640152216,-2.1512532234191895,18.207810819149017,75.4436731338501,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.053094487138606344,0.04754234850406647,-1.3229193687438965,2.0596839487552643,97.59690165519714,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.053094487138606344,0.04042120277881622,-1.3933907747268677,2.8996074572205544,96.20097279548645,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.053094487138606344,0.037550076842308044,-1.4253891706466675,5.003979429602623,93.01825761795044,0,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.053094487138606344,0.03269096091389656,-1.485572338104248,7.289774715900421,89.69563245773315,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.053094487138606344,0.016220729798078537,-1.7899296283721924,15.812216699123383,77.93641686439514,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.053094487138606344,0.003878774819895625,-2.4113054275512695,22.74644374847412,68.49581003189087,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.07357166836930737,0.047149546444416046,-1.3265224695205688,2.497253194451332,96.65042161941528,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.07357166836930737,0.038706980645656586,-1.4122107028961182,3.5710830241441727,95.06372809410095,0,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.07357166836930737,0.03446204960346222,-1.4626588821411133,5.798617005348206,91.69519543647766,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.07357166836930737,0.027755077928304672,-1.5566575527191162,9.834877401590347,85.28434634208679,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.07357166836930737,0.00929298810660839,-2.0318446159362793,19.315272569656372,74.0471363067627,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.07357166836930737,0.0017746388912200928,-2.750890016555786,31.38953447341919,60.512661933898926,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.10194637293534692,0.044865962117910385,-1.3480830192565918,3.388165310025215,95.20081877708435,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.10194637293534692,0.035812683403491974,-1.4459631443023682,4.727068915963173,93.26035976409912,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.10194637293534692,0.03027501329779625,-1.5189156532287598,6.880687922239304,90.54688811302185,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.10194637293534692,0.018575778231024742,-1.7310529947280884,17.106200754642487,78.39791178703308,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.10194637293534692,0.004748303443193436,-2.3234615325927734,23.52452427148819,69.28570866584778,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.10194637293534692,0.0006506576901301742,-3.186647415161133,36.460137367248535,57.4282705783844,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.14126447292866628,0.041808441281318665,-1.3787360191345215,3.9100877940654755,94.36731338500977,0,True
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.14126447292866628,0.03241344913840294,-1.4892747402191162,5.4893858730793,92.04111695289612,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.14126447292866628,0.02577000856399536,-1.5888854265213013,8.685433864593506,86.96154356002808,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.14126447292866628,0.01030545961111784,-1.986932635307312,19.23600137233734,75.03300905227661,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.14126447292866628,0.002270067809149623,-2.643961191177368,29.112529754638672,63.23745250701904,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.14126447292866628,0.0002376137999817729,-3.6241283416748047,42.86445379257202,50.59082508087158,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.19574655514688588,0.03815052658319473,-1.41849946975708,4.654011502861977,93.3290958404541,0,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.19574655514688588,0.02823847159743309,-1.5491588115692139,7.178620249032974,89.56718444824219,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.19574655514688588,0.01795068010687828,-1.745919108390808,15.985095500946045,78.32568287849426,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.19574655514688588,0.005157263018190861,-2.287580728530884,23.220257461071014,70.53553462028503,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.19574655514688588,0.0009190932614728808,-3.0366404056549072,36.088159680366516,57.80327320098877,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.19574655514688588,6.750525790266693e-05,-4.1706624031066895,54.15286421775818,41.4180725812912,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.27124097841090933,0.033893778920173645,-1.4698799848556519,5.1609039306640625,92.56227612495422,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.27124097841090933,0.023026106879115105,-1.6377794742584229,9.306778013706207,86.24210953712463,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.27124097841090933,0.010102533735334873,-1.9955697059631348,18.68092566728592,75.00489950180054,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.27124097841090933,0.002356149721890688,-2.6277971267700195,27.520835399627686,62.76986002922058,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.27124097841090933,0.00030030886409804225,-3.5224318504333496,44.0375030040741,50.46682953834534,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.27124097841090933,1.2648425581573974e-05,-4.897963523864746,71.3385820388794,30.97536265850067,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.37585166346401383,0.028885960578918457,-1.5393131971359253,6.306640803813934,90.9394383430481,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.37585166346401383,0.015955351293087006,-1.7970936298370361,14.542588591575623,80.41032552719116,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.37585166346401383,0.005527741741389036,-2.2574522495269775,20.436963438987732,72.53597974777222,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.37585166346401383,0.0009868827182799578,-3.005734443664551,32.184404134750366,61.56350374221802,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.37585166346401383,8.139277633745223e-05,-4.089414119720459,51.671046018600464,45.61881124973297,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.37585166346401383,1.45910428273055e-06,-5.83591365814209,93.23574900627136,22.077228128910065,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.5208080053252924,0.023691875860095024,-1.6254005432128906,8.088263124227524,88.22912573814392,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.5208080053252924,0.010266505181789398,-1.9885773658752441,16.077803075313568,76.91286206245422,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.5208080053252924,0.0030639497563242912,-2.513718366622925,23.482544720172882,66.81656837463379,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.5208080053252924,0.00043330920743755996,-3.3632020950317383,35.89661717414856,56.254446506500244,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.5208080053252924,2.0143916117376648e-05,-4.695856094360352,61.154770851135254,36.28173768520355,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.5208080053252924,1.0594423827114952e-07,-6.9749226570129395,112.6313328742981,14.956139028072357,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,0.7216702885149785,0.01867714896798134,-1.728689432144165,10.504709929227829,83.33340883255005,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,0.7216702885149785,0.006270979531109333,-2.202664613723755,18.06335300207138,75.33900737762451,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,0.7216702885149785,0.0015038899146020412,-2.822783946990967,29.758474230766296,63.45745325088501,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,0.7216702885149785,0.00015422835713252425,-3.811835765838623,46.4089959859848,47.649791836738586,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,0.7216702885149785,2.942381570392172e-06,-5.531301021575928,83.69529247283936,24.077919125556946,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,0.7216702885149785,2.6216937509815352e-09,-8.58141803741455,153.5520315170288,2.6964347809553146,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",2.0,1.0,0.012290453538298607,-1.9104321002960205,18.67578476667404,73.69145154953003,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",4.0,1.0,0.0035841043572872877,-2.4456193447113037,24.901461601257324,66.02854132652283,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",8.0,1.0,0.0006382565479725599,-3.19500470161438,40.248751640319824,51.7706573009491,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",16.0,1.0,3.885001933667809e-05,-4.410608768463135,64.43473696708679,32.99139440059662,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",32.0,1.0,2.378852741458104e-07,-6.623632431030273,107.7887773513794,18.51038783788681,1,False
low_E_mid_d,"low $\varepsilon$, mid $d/R$",64.0,1.0,1.3564635525931124e-11,-10.867591857910156,172.4191665649414,27.811619639396667,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.00390625,0.019573716446757317,-1.7083266973495483,4.378599300980568,94.58689093589783,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.00390625,0.02183973416686058,-1.6607526540756226,4.229035601019859,94.9118971824646,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.00390625,0.024748504161834717,-1.6064510345458984,3.4494277089834213,95.67791819572449,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.00390625,0.026509467512369156,-1.5765990018844604,3.616873547434807,95.83367705345154,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.00390625,0.023342590779066086,-1.6318509578704834,5.913887172937393,93.68638396263123,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.00390625,0.016732392832636833,-1.7764419317245483,6.130107864737511,94.48353052139282,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.005412790386643338,0.020296351984143257,-1.6925820112228394,4.434748366475105,94.25265192985535,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.005412790386643338,0.022631101310253143,-1.6452943086624146,4.277076944708824,94.58543062210083,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.005412790386643338,0.025529125705361366,-1.5929640531539917,3.486800193786621,95.51966190338135,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.005412790386643338,0.027339937165379524,-1.5632025003433228,3.7348125129938126,95.49488425254822,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.005412790386643338,0.023938674479722977,-1.6208999156951904,5.7960957288742065,93.52951645851135,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.005412790386643338,0.016911419108510017,-1.7718199491500854,6.044752523303032,94.29563879966736,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.007500364741053073,0.021369589492678642,-1.6702038049697876,4.567340761423111,93.75468492507935,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.007500364741053073,0.02385367825627327,-1.6224446296691895,4.443849995732307,94.00511384010315,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.007500364741053073,0.026662826538085938,-1.5740938186645508,3.4887559711933136,95.11130452156067,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.007500364741053073,0.02839117869734764,-1.5468165874481201,3.6763112992048264,95.13569474220276,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.007500364741053073,0.024541180580854416,-1.6101045608520508,5.773695558309555,93.7558650970459,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.007500364741053073,0.01688644476234913,-1.7724617719650269,6.175604835152626,94.16302442550659,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.010393062954672825,0.02303706295788288,-1.6375728845596313,4.887012764811516,92.94677376747131,-1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.010393062954672825,0.025863030925393105,-1.5873205661773682,4.557524994015694,93.14334988594055,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.010393062954672825,0.028227923437952995,-1.5493210554122925,3.5202406346797943,94.96569037437439,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.010393062954672825,0.02916257455945015,-1.5351741313934326,3.7963945418596268,95.78660130500793,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.010393062954672825,0.025022685527801514,-1.6016660928726196,5.6405216455459595,94.21175718307495,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.010393062954672825,0.016413839533925056,-1.784789800643921,6.7942410707473755,91.10769629478455,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.014401400639701026,0.025303848087787628,-1.596813440322876,4.806791245937347,92.963707447052,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.014401400639701026,0.02793440781533718,-1.5538605451583862,4.1070278733968735,94.26778554916382,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.014401400639701026,0.029855959117412567,-1.5249689817428589,3.482421115040779,95.22287249565125,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.014401400639701026,0.02927643246948719,-1.5334818363189697,4.399141296744347,95.19522786140442,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.014401400639701026,0.02471115067601204,-1.6071070432662964,6.009526923298836,92.20372438430786,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.014401400639701026,0.01441206131130457,-1.8412739038467407,9.014441072940826,86.8887722492218,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.01995565131181387,0.027082907035946846,-1.5673047304153442,4.586796090006828,93.7202513217926,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.01995565131181387,0.029550857841968536,-1.5294299125671387,4.069530591368675,94.39235925674438,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.01995565131181387,0.03081257827579975,-1.5112719535827637,3.757130354642868,95.59727907180786,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.01995565131181387,0.02865380421280861,-1.5428177118301392,5.027833580970764,93.65845918655396,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.01995565131181387,0.02235562540590763,-1.6506131887435913,7.355038821697235,90.02830982208252,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.01995565131181387,0.01150077860802412,-1.9392727613449097,11.380168795585632,83.92897844314575,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.02765203394042693,0.02878447435796261,-1.5408416986465454,4.442732408642769,93.81582140922546,-1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.02765203394042693,0.030967140570282936,-1.5090988874435425,4.103092476725578,94.73397731781006,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.02765203394042693,0.030376417562365532,-1.5174634456634521,4.2183224111795425,95.279061794281,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.02765203394042693,0.027057738974690437,-1.5677084922790527,5.774328485131264,92.5294280052185,0,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.02765203394042693,0.01911597140133381,-1.7186036109924316,8.980899304151535,87.1827483177185,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.02765203394042693,0.008480444550514221,-2.0715813636779785,13.997720181941986,80.24038076400757,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.03831671385187284,0.030137676745653152,-1.520890235900879,4.267352074384689,94.63188648223877,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.03831671385187284,0.031376831233501434,-1.503390908241272,4.215753823518753,95.32366394996643,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.03831671385187284,0.030144840478897095,-1.520787000656128,4.3337613344192505,95.40083408355713,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.03831671385187284,0.024794258177280426,-1.6056488752365112,6.728344410657883,90.6627357006073,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.03831671385187284,0.015070801600813866,-1.8218636512756348,10.988511145114899,85.01659035682678,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.03831671385187284,0.005708759184926748,-2.2434582710266113,17.791050672531128,74.78591799736023,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",2.0,0.053094487138606344,0.03099001571536064,-1.5087782144546509,4.067178815603256,95.02466917037964,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",4.0,0.053094487138606344,0.03121100552380085,-1.5056922435760498,4.396674036979675,94.38624382019043,0,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",8.0,0.053094487138606344,0.029292533174157143,-1.5332430601119995,4.919804632663727,93.59642267227173,1,True
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",16.0,0.053094487138606344,0.021542692556977272,-1.666700005531311,8.408810943365097,88.79699110984802,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",32.0,0.053094487138606344,0.011311782523989677,-1.9464689493179321,14.858205616474152,79.36007380485535,1,False
mid_E_mid_d,"mid $\varepsilon$, mid $d/R$",64.0,0.053094487138606344,0.0034370869398117065,-2.4638094902038574,23.373989760875702,69.91668939590454,1,False
